iter	Passed	Remaining
1218	1820	104
1219	1822	103
1220	1824	101
1221	1825	100
1222	1827	98
1223	1828	97
1224	1830	95
1225	1832	94
1226	1834	92
1227	1835	91
1228	1837	89
1229	1837	88
1230	1839	86
1231	1840	85
1232	1842	83
1233	1844	82
1234	1845	80
1235	1847	79
1236	1849	77
1237	1850	76
1238	1852	74
1239	1854	73
1240	1856	71
1241	1856	70
1242	1858	68
1243	1858	67
1244	1860	65
1245	1861	64
1246	1863	62
1247	1865	61
1248	1866	59
1249	1868	58
1250	1870	56
1251	1871	55
1252	1873	53
1253	1874	52
1254	1876	50
1255	1878	49
1256	1879	47
1257	1881	46
1258	1883	44
1259	1884	43
1260	1886	41
1261	1887	40
1262	1889	38
1263	1891	37
1264	1892	35
1265	1894	34
1266	1896	32
1267	1897	31
1268	1897	29
1269	1899	28
1270	1901	26
1271	1902	25
1272	1904	23
1273	1906	22
1274	1907	20
1275	1909	19
1276	1911	17
1277	1912	16
1278	1914	14
1279	1916	13
1280	1917	11
1281	1919	10
1282	1921	8
1283	1923	7
1284	1924	5
1285	1926	4
1286	1927	2
1287	1927	1
1288	1928	0
